collection,corpus,transcript,utterance_id,classification,multiplicity,alignment_basis,spacy_subject_surface,spacy_verb_surface,spacy_subject_lemma,spacy_verb_lemma,spacy_verb_pos,spacy_subject_index,spacy_verb_index,ud_subject_surface,ud_verb_surface,ud_subject_lemma,ud_verb_lemma,ud_verb_pos,ud_subject_index,ud_verb_index
Eng-NA,Braunwald,Braunwald/010706.cha,4,both,1,token_indices,I,understand,i,understand,VERB,1.0,3.0,I,understand,i,understand,VERB,1.0,3.0
Eng-NA,Braunwald,Braunwald/010706.cha,6,both,1,token_indices,you,know,you,know,VERB,1.0,2.0,you,know,you,know,VERB,1.0,2.0
Eng-NA,Braunwald,Braunwald/010706.cha,6,both,1,token_indices,we're,going,we,go,VERB,4.0,5.0,we're,going,we,go,VERB,4.0,5.0
Eng-NA,Braunwald,Braunwald/010706.cha,8,both,1,token_indices,we're,going,we,go,VERB,1.0,2.0,we're,going,we,go,VERB,1.0,2.0
Eng-NA,Braunwald,Braunwald/010706.cha,9,both,1,token_indices,Laura's,going,laura,go,VERB,1.0,2.0,Laura's,going,laura,go,VERB,1.0,2.0
Eng-NA,Braunwald,Braunwald/010706.cha,12,both,1,token_indices,you,go,you,go,VERB,1.0,3.0,you,go,you,go,VERB,1.0,3.0
Eng-NA,Braunwald,Braunwald/010706.cha,13,both,1,token_indices,you,like,you,like,VERB,1.0,2.0,you,like,you,like,VERB,1.0,2.0
Eng-NA,Braunwald,Braunwald/010706.cha,21,both,1,token_indices,hair,get,hair,get,VERB,2.0,4.0,hair,get,hair,get,VERB,2.0,4.0
Eng-NA,Braunwald,Braunwald/010706.cha,39,both,1,token_indices,you,like,you,like,VERB,1.0,2.0,you,like,you,like,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,15,both,1,token_indices,you'll,get,you,get,VERB,8.0,10.0,you'll,get,you,get,VERB,8.0,10.0
Eng-NA,Brown,Brown/Sarah/040209.cha,17,both,1,token_indices,you,got,you,get,VERB,1.0,3.0,you,got,you,get,VERB,1.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,43,both,1,token_indices,you,think,you,think,VERB,2.0,3.0,you,think,you,think,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,48,both,1,token_indices,I,hope,i,hope,VERB,1.0,2.0,I,hope,i,hope,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,48,both,1,token_indices,he,grow,he,grow,VERB,3.0,5.0,he,grow,he,grow,VERB,3.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,50,both,1,token_indices,I,think,i,think,VERB,1.0,2.0,I,think,i,think,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,50,both,1,token_indices,you,cook,you,cook,VERB,3.0,4.0,you,cook,you,cook,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,56,both,1,token_indices,he,eat,he,eat,VERB,3.0,4.0,he,eat,he,eat,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,59,both,1,token_indices,you,eat,you,eat,VERB,3.0,4.0,you,eat,you,eat,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,62,both,1,token_indices,you,want,you,want,VERB,2.0,3.0,you,want,you,want,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,64,both,1,token_indices,you,want,you,want,VERB,6.0,7.0,you,want,you,want,VERB,6.0,7.0
Eng-NA,Brown,Brown/Sarah/040209.cha,65,both,1,token_indices,you,want,you,want,VERB,3.0,4.0,you,want,you,want,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,68,both,1,token_indices,I'll,give,i,give,VERB,8.0,9.0,I'll,give,i,give,VERB,8.0,9.0
Eng-NA,Brown,Brown/Sarah/040209.cha,81,both,1,token_indices,you,pour,you,pour,VERB,2.0,3.0,you,pour,you,pour,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,81,both,1,token_indices,you,drink,you,drink,VERB,6.0,7.0,you,drink,you,drink,VERB,6.0,7.0
Eng-NA,Brown,Brown/Sarah/040209.cha,85,both,1,token_indices,you,like,you,like,VERB,2.0,3.0,you,like,you,like,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,91,both,1,token_indices,I,give,i,give,VERB,2.0,6.0,I,give,i,give,VERB,2.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,103,both,1,token_indices,you,want,you,want,VERB,1.0,2.0,you,want,you,want,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,104,both,1,token_indices,that,goes,that,go,VERB,2.0,3.0,that,goes,that,go,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,104,both,1,token_indices,you,found,you,find,VERB,6.0,7.0,you,found,you,find,VERB,6.0,7.0
Eng-NA,Brown,Brown/Sarah/040209.cha,114,both,1,token_indices,I,know,i,know,VERB,1.0,2.0,I,know,i,know,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,120,both,1,token_indices,you,have,you,have,VERB,2.0,3.0,you,have,you,have,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,122,both,1,token_indices,it,is,it,be,AUX,2.0,1.0,it,is,it,be,AUX,2.0,1.0
Eng-NA,Brown,Brown/Sarah/040209.cha,131,both,1,token_indices,it's,starting,it,start,VERB,1.0,2.0,it's,starting,it,start,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,138,both,1,token_indices,fairy,come,fairy,come,VERB,4.0,5.0,fairy,come,fairy,come,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,140,both,1,token_indices,you,lose,you,lose,VERB,2.0,3.0,you,lose,you,lose,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,146,both,1,token_indices,fairy,leaves,fairy,leave,VERB,3.0,4.0,fairy,leaves,fairy,leave,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,147,both,1,token_indices,fairy,left,fairy,leave,VERB,3.0,5.0,fairy,left,fairy,leave,VERB,3.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,147,both,1,token_indices,I,lost,i,lose,VERB,9.0,10.0,I,lost,i,lose,VERB,9.0,10.0
Eng-NA,Brown,Brown/Sarah/040209.cha,148,both,1,token_indices,we,bribe,we,bribe,VERB,1.0,2.0,we,bribe,we,bribe,VERB,1.0,2.0
Eng-NA,Brown,Brown/Sarah/040209.cha,149,both,1,token_indices,you,lose,you,lose,VERB,2.0,3.0,you,lose,you,lose,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,151,both,1,token_indices,I,bet,i,bet,VERB,3.0,4.0,I,bet,i,bet,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,153,both,1,token_indices,you,say,you,say,VERB,3.0,4.0,you,say,you,say,VERB,3.0,4.0
Eng-NA,Brown,Brown/Sarah/040209.cha,153,both,1,token_indices,you,want,you,want,VERB,5.0,6.0,you,want,you,want,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,160,both,1,token_indices,somebody,asks,somebody,ask,VERB,4.0,5.0,somebody,asks,somebody,ask,VERB,4.0,5.0
Eng-NA,Brown,Brown/Sarah/040209.cha,162,both,1,token_indices,it,shows,it,show,VERB,2.0,3.0,it,shows,it,show,VERB,2.0,3.0
Eng-NA,Brown,Brown/Sarah/040209.cha,162,both,1,token_indices,she,understands,she,understand,VERB,5.0,6.0,she,understands,she,understand,VERB,5.0,6.0
Eng-NA,Brown,Brown/Sarah/040209.cha,164,both,1,token_indices,I,been,i,be,AUX,2.0,4.0,I,been,i,be,AUX,2.0,4.0
